bank_name,period,n_firms,firms,n_firms_savings,firms_savings,n_firms_borrowing,firms_borrowing,n_firms_payments,firms_payments,n_firms_credit_cards,firms_credit_cards
"CC Flow, a division of Capital Community Bank (CCBank)",2025-H1,1,MoneyKey,0,,1,MoneyKey,0,,0,
"CC Flow, a division of Capital Community Bank (CCBank)",2025-H2,1,MoneyKey,0,,1,MoneyKey,0,,0,
"CC Flow, a division of Capital Community Bank (CCBank)",2026-H1,1,MoneyKey,0,,1,MoneyKey,0,,0,
"CC Flow, a division of Capital Community Bank (CCBank), a Utah Chartered bank, located in Provo, Utah",2024-H2,1,MoneyKey,0,,1,MoneyKey,0,,0,
"CC Flow, a division of Capital Community Bank (CCBank), a Utah Chartered bank, located in Provo, Utah",2025-H2,1,MoneyKey,0,,1,MoneyKey,0,,0,
"CC Flow, a division of Capital Community Bank, a Utah Chartered bank",2021-H2,1,MoneyKey,0,,1,MoneyKey,0,,0,
CCB,2022-H1,1,Possible Finance,0,,0,,0,,1,Possible Finance
CCB,2023-H1,1,Possible Finance,0,,0,,0,,1,Possible Finance
CFSB; Community Federal Savings Bank,2021-H2,1,Greenlight,1,Greenlight,0,,0,,0,
CFSB; Community Federal Savings Bank,2022-H1,1,Greenlight,1,Greenlight,0,,0,,0,
CFSB; Community Federal Savings Bank,2024-H2,1,Comun,1,Comun,0,,0,,0,
CFSB; Community Federal Savings Bank; Community Federal Savings Bank,2025-H2,1,Comun,1,Comun,0,,0,,0,
CIT Bank,2009-H2,1,Fingerhut,0,,0,,0,,1,Fingerhut
Capital Community Bank,2021-H2,1,MoneyKey,0,,1,MoneyKey,0,,0,
Capital Community Bank,2023-H2,1,MDG,0,,1,MDG,0,,0,
Capital Community Bank,2025-H1,1,Snap Finance,0,,0,,0,,0,
Capital Community Bank,2025-H2,1,Rise Credit,0,,1,Rise Credit,0,,0,
Capital Community Bank (CCBANK),2022-H2,1,MoneyKey,0,,1,MoneyKey,0,,0,
Capital Community Bank (CCBANK),2023-H1,1,MoneyKey,0,,1,MoneyKey,0,,0,
Capital Community Bank (CCBank),2022-H1,1,MoneyKey,0,,1,MoneyKey,0,,0,
Capital Community Bank (CCBank),2023-H2,1,MoneyKey,0,,1,MoneyKey,0,,0,
Capital Community Bank (CCBank),2024-H1,1,MoneyKey,0,,1,MoneyKey,0,,0,
Capital Community Bank (CCBank),2025-H1,1,MoneyKey,0,,1,MoneyKey,0,,0,
"Capital Community Bank, a Utah Chartered bank, located in Provo, Utah",2020-H2,1,MoneyKey,0,,1,MoneyKey,0,,0,
"Capital Community Bank, a Utah Chartered bank, located in Provo, Utah",2021-H1,1,MoneyKey,0,,1,MoneyKey,0,,0,
CapitalOS,2026-H1,1,Lili,0,,0,,0,,0,
CapitalOS and First Internet Bank of India,2023-H2,1,Workiz,0,,0,,0,,0,
Celtic,2025-H1,1,Perpay,0,,0,,0,,0,
Celtic Bank,2018-H2,1,Deserve,0,,0,,0,,1,Deserve
Celtic Bank,2019-H2,2,Deserve; FinFit,0,,1,FinFit,0,,1,Deserve
Celtic Bank,2020-H1,1,FinFit,0,,1,FinFit,0,,0,
Celtic Bank,2021-H1,2,FinFit; Stripe,0,,2,FinFit; Stripe,0,,0,
Celtic Bank,2021-H2,2,Bluevine; Stripe,0,,2,Bluevine; Stripe,0,,0,
Celtic Bank,2022-H1,3,FinFit; M1; Stripe,0,,2,FinFit; Stripe,0,,1,M1
Celtic Bank,2022-H2,7,Accountable; Benepass; FinFit; M1; Perpay; Rocket; Stripe,2,Benepass; Accountable,2,FinFit; Stripe,0,,2,Accountable; M1
Celtic Bank,2023-H1,8,Benepass; Bluevine; Bonsai; Deserve; FinFit; Rocket; Coast; Stripe,1,Benepass,3,FinFit; Bluevine; Stripe,0,,2,Deserve; Coast
Celtic Bank,2023-H2,5,Bonsai; Coast; FinFit; M1; Stripe,1,Bonsai,2,FinFit; Stripe,0,,2,Coast; M1
Celtic Bank,2024-H1,6,Bluevine; Bonsai; Coast; M1; Rocket; Stripe,1,Bonsai,1,Stripe,0,,2,Coast; M1
